Order_ID,Order_Date,Product,Category,Quantity,Unit_Price,Discount_Pct,Total_Price,Cost,Profit,Customer_Type,Region,Sales_Channel,Payment_Method,Order_Status
ORD-0001,2024-04-14,Wireless Mouse,Electronics,5,49,10,220.5,125,95.5,Returning,North,Mobile App,Credit Card,Completed
ORD-0002,2024-01-28,Bluetooth Speaker,Electronics,4,79,0,316.0,160,156.0,VIP,South,Mobile App,Bank Transfer,Completed
ORD-0003,2024-01-07,Cookbook Deluxe,Books,5,42,0,210.0,90,120.0,Returning,South,Mobile App,Cash,Completed
ORD-0004,2024-04-09,Denim Jacket,Clothing,6,80,20,384.0,210,174.0,VIP,East,In-Store,Cash,Cancelled
ORD-0005,2024-03-21,HDMI Cable 6ft,Electronics,9,18,20,129.6,72,57.6,VIP,East,Mobile App,Cash,Completed
ORD-0006,2024-10-23,Cotton T-Shirt,Clothing,1,25,0,25.0,10,15.0,New,North,Online,Bank Transfer,Completed
ORD-0007,2024-08-02,Business Strategy,Books,3,35,0,105.0,36,69.0,VIP,East,Mobile App,Credit Card,Completed
ORD-0008,2024-10-03,Slim Chinos,Clothing,4,55,20,176.0,80,96.0,Returning,South,Mobile App,Credit Card,Completed
ORD-0009,2024-11-18,USB-C Hub,Electronics,7,59,10,371.7,210,161.7,Returning,South,Mobile App,Bank Transfer,Returned
ORD-0010,2024-09-26,Data Science 101,Books,5,49,25,183.75,100,83.75,Returning,West,Mobile App,Cash,Completed
ORD-0011,2024-04-22,Slim Chinos,Clothing,8,55,5,418.0,160,258.0,New,South,Mobile App,Bank Transfer,Completed
ORD-0012,2025-04-24,HDMI Cable 6ft,Electronics,7,18,0,126.0,56,70.0,New,East,Mobile App,Credit Card,Returned
ORD-0013,2024-06-10,Water Bottle 1L,Sports,6,15,20,72.0,30,42.0,VIP,West,Online,Cash,Completed
ORD-0014,2024-11-01,Slim Chinos,Clothing,2,55,0,110.0,40,70.0,Returning,South,Online,PayPal,Completed
ORD-0015,2024-01-20,Yoga Mat,Sports,10,29,0,290.0,120,170.0,Returning,North,In-Store,PayPal,Completed
ORD-0016,2024-03-11,Slim Chinos,Clothing,2,55,20,88.0,40,48.0,VIP,South,Online,Bank Transfer,Completed
ORD-0017,2025-03-09,Running Shoes,Clothing,9,95,0,855.0,270,585.0,VIP,South,Mobile App,PayPal,Returned
ORD-0018,2025-04-07,Bamboo Cutting Board,Home & Kitchen,6,22,0,132.0,48,84.0,New,North,Online,Credit Card,Completed
ORD-0019,2024-01-08,Laptop Stand,Electronics,9,69,10,558.9,315,243.9,VIP,North,Mobile App,Credit Card,Completed
ORD-0020,2024-10-12,Wireless Mouse,Electronics,6,49,10,264.6,150,114.6,VIP,West,Online,PayPal,Returned
ORD-0021,2025-02-20,Foam Roller,Sports,8,34,20,217.6,120,97.6,New,South,Online,Bank Transfer,Completed
ORD-0022,2024-02-25,Machine Learning,Books,8,59,0,472.0,200,272.0,Returning,North,Online,Cash,Cancelled
ORD-0023,2024-05-23,Bluetooth Speaker,Electronics,4,79,20,252.8,160,92.8,Returning,West,Online,Bank Transfer,Completed
ORD-0024,2024-01-16,HDMI Cable 6ft,Electronics,9,18,25,121.5,72,49.5,New,North,Online,Bank Transfer,Completed
ORD-0025,2024-06-17,Data Science 101,Books,7,49,0,343.0,140,203.0,Returning,West,Online,Cash,Cancelled
ORD-0026,2025-05-13,Business Strategy,Books,7,35,0,245.0,84,161.0,Returning,South,Online,PayPal,Completed
ORD-0027,2024-02-28,Foam Roller,Sports,1,34,0,34.0,15,19.0,Returning,North,Mobile App,PayPal,Completed
ORD-0028,2024-08-28,Yoga Mat,Sports,3,29,5,82.65,36,46.65,VIP,West,Online,PayPal,Completed
ORD-0029,2024-11-19,Yoga Mat,Sports,10,29,25,217.5,120,97.5,VIP,East,Online,Cash,Completed
ORD-0030,2024-11-03,Bamboo Cutting Board,Home & Kitchen,3,22,0,66.0,24,42.0,New,West,In-Store,Credit Card,Completed
ORD-0031,2024-09-28,Foam Roller,Sports,2,34,10,61.2,30,31.2,New,South,In-Store,PayPal,Completed
ORD-0032,2024-11-05,Stainless Bottle,Home & Kitchen,8,28,0,224.0,80,144.0,VIP,North,Mobile App,Cash,Returned
ORD-0033,2024-06-08,Bluetooth Speaker,Electronics,5,79,5,375.25,200,175.25,VIP,East,In-Store,PayPal,Returned
ORD-0034,2024-09-14,Stainless Bottle,Home & Kitchen,5,28,0,140.0,50,90.0,VIP,North,Online,Bank Transfer,Cancelled
ORD-0035,2024-05-13,Coffee Maker,Home & Kitchen,1,89,0,89.0,45,44.0,VIP,East,Online,Bank Transfer,Completed
ORD-0036,2024-02-06,Cookbook Deluxe,Books,1,42,10,37.8,18,19.8,VIP,East,Mobile App,PayPal,Completed
ORD-0037,2024-02-10,Cotton T-Shirt,Clothing,5,25,0,125.0,50,75.0,VIP,East,Online,PayPal,Returned
ORD-0038,2025-02-20,USB-C Hub,Electronics,9,59,0,531.0,270,261.0,New,South,Online,PayPal,Completed
ORD-0039,2025-02-25,Bluetooth Speaker,Electronics,6,79,0,474.0,240,234.0,New,South,In-Store,Credit Card,Completed
ORD-0040,2024-12-24,HDMI Cable 6ft,Electronics,4,18,20,57.6,32,25.6,New,East,Online,Credit Card,Returned
ORD-0041,2024-10-12,Wool Scarf,Clothing,6,29,5,165.3,72,93.3,VIP,East,Mobile App,Bank Transfer,Returned
ORD-0042,2024-07-01,Water Bottle 1L,Sports,1,15,15,12.75,5,7.75,New,East,Online,Bank Transfer,Completed
ORD-0043,2024-04-28,Bamboo Cutting Board,Home & Kitchen,10,22,0,220.0,80,140.0,New,West,Mobile App,Cash,Completed
ORD-0044,2024-07-20,Python Programming,Books,9,39,0,351.0,135,216.0,New,East,In-Store,Cash,Completed
ORD-0045,2025-02-22,Coffee Maker,Home & Kitchen,5,89,0,445.0,225,220.0,VIP,East,In-Store,Cash,Completed
ORD-0046,2025-01-23,Denim Jacket,Clothing,7,80,0,560.0,245,315.0,VIP,South,Mobile App,Cash,Completed
ORD-0047,2024-11-25,Yoga Mat,Sports,5,29,20,116.0,60,56.0,Returning,West,In-Store,PayPal,Completed
ORD-0048,2024-12-09,Data Science 101,Books,2,49,25,73.5,40,33.5,VIP,North,Online,Cash,Completed
ORD-0049,2024-03-15,Denim Jacket,Clothing,1,80,20,64.0,35,29.0,VIP,West,In-Store,PayPal,Returned
ORD-0050,2024-04-19,Machine Learning,Books,7,59,5,392.35,175,217.35,New,West,Online,Bank Transfer,Completed
ORD-0051,2025-04-20,Resistance Bands,Sports,2,19,0,38.0,16,22.0,VIP,East,In-Store,Bank Transfer,Cancelled
ORD-0052,2025-05-01,Jump Rope,Sports,3,12,0,36.0,12,24.0,New,West,In-Store,Cash,Cancelled
ORD-0053,2024-10-19,Jump Rope,Sports,4,12,5,45.6,16,29.6,Returning,South,In-Store,Cash,Completed
ORD-0054,2024-08-07,Bluetooth Speaker,Electronics,3,79,10,213.3,120,93.3,Returning,North,In-Store,Cash,Completed
ORD-0055,2025-02-02,Machine Learning,Books,1,59,20,47.2,25,22.2,Returning,North,Mobile App,Bank Transfer,Completed
ORD-0056,2025-03-05,Chef Knife Set,Home & Kitchen,7,75,0,525.0,210,315.0,New,South,In-Store,Cash,Completed
ORD-0057,2025-02-18,Python Programming,Books,7,39,0,273.0,105,168.0,New,South,In-Store,Credit Card,Completed
ORD-0058,2024-05-18,Foam Roller,Sports,1,34,20,27.2,15,12.2,New,West,Online,Cash,Completed
ORD-0059,2025-01-23,Stainless Bottle,Home & Kitchen,8,28,0,224.0,80,144.0,Returning,East,In-Store,Credit Card,Completed
ORD-0060,2024-12-24,Laptop Stand,Electronics,1,69,0,69.0,35,34.0,New,South,Mobile App,Credit Card,Cancelled
ORD-0061,2024-06-05,Bluetooth Speaker,Electronics,4,79,0,316.0,160,156.0,Returning,South,Online,Credit Card,Completed
ORD-0062,2024-06-20,Wool Scarf,Clothing,5,29,0,145.0,60,85.0,Returning,North,Online,Credit Card,Completed
ORD-0063,2025-01-19,USB-C Hub,Electronics,10,59,0,590.0,300,290.0,New,West,Mobile App,Credit Card,Completed
ORD-0064,2024-05-03,Cotton T-Shirt,Clothing,5,25,0,125.0,50,75.0,VIP,North,In-Store,Bank Transfer,Returned
ORD-0065,2024-01-13,Coffee Maker,Home & Kitchen,9,89,0,801.0,405,396.0,New,West,In-Store,Bank Transfer,Completed
ORD-0066,2024-10-03,Data Science 101,Books,7,49,25,257.25,140,117.25,Returning,West,In-Store,Cash,Completed
ORD-0067,2024-09-06,Cotton T-Shirt,Clothing,5,25,0,125.0,50,75.0,VIP,West,Mobile App,Bank Transfer,Completed
ORD-0068,2024-12-29,HDMI Cable 6ft,Electronics,6,18,10,97.2,48,49.2,Returning,East,In-Store,Cash,Completed
ORD-0069,2025-05-15,Laptop Stand,Electronics,4,69,20,220.8,140,80.8,Returning,South,Mobile App,Bank Transfer,Completed
ORD-0070,2024-11-09,Wireless Mouse,Electronics,5,49,10,220.5,125,95.5,VIP,East,In-Store,Cash,Completed
ORD-0071,2024-10-04,Water Bottle 1L,Sports,6,15,0,90.0,30,60.0,New,East,In-Store,Credit Card,Returned
ORD-0072,2024-07-08,Running Shoes,Clothing,2,95,0,190.0,60,130.0,VIP,South,Online,Bank Transfer,Completed
ORD-0073,2024-07-17,Foam Roller,Sports,10,34,5,323.0,150,173.0,Returning,East,Online,PayPal,Completed
ORD-0074,2024-10-26,Laptop Stand,Electronics,3,69,5,196.65,105,91.65,Returning,South,Mobile App,Credit Card,Cancelled
ORD-0075,2025-03-27,Laptop Stand,Electronics,5,69,0,345.0,175,170.0,New,East,Online,Cash,Cancelled
ORD-0076,2024-03-16,Python Programming,Books,2,39,0,78.0,30,48.0,New,North,Online,Cash,Completed
ORD-0077,2024-08-19,Cotton T-Shirt,Clothing,9,25,0,225.0,90,135.0,Returning,West,In-Store,Cash,Cancelled
ORD-0078,2024-03-02,Jump Rope,Sports,5,12,0,60.0,20,40.0,VIP,North,Online,PayPal,Completed
ORD-0079,2024-06-09,Bluetooth Speaker,Electronics,4,79,5,300.2,160,140.2,Returning,North,In-Store,Bank Transfer,Completed
ORD-0080,2025-04-09,Bluetooth Speaker,Electronics,5,79,0,395.0,200,195.0,New,North,Mobile App,Cash,Cancelled
ORD-0081,2024-06-01,Resistance Bands,Sports,7,19,10,119.7,56,63.7,New,East,Online,Credit Card,Completed
ORD-0082,2025-03-25,LED Desk Lamp,Home & Kitchen,10,45,0,450.0,180,270.0,VIP,North,In-Store,Cash,Returned
ORD-0083,2025-03-24,Business Strategy,Books,9,35,0,315.0,108,207.0,New,North,Mobile App,Bank Transfer,Returned
ORD-0084,2024-01-22,LED Desk Lamp,Home & Kitchen,5,45,10,202.5,90,112.5,New,East,Mobile App,PayPal,Completed
ORD-0085,2025-03-22,Jump Rope,Sports,5,12,25,45.0,20,25.0,Returning,West,Online,Cash,Completed
ORD-0086,2024-12-03,Chef Knife Set,Home & Kitchen,2,75,0,150.0,60,90.0,Returning,West,Mobile App,Cash,Returned
ORD-0087,2024-11-18,Cookbook Deluxe,Books,1,42,0,42.0,18,24.0,New,East,In-Store,Bank Transfer,Cancelled
ORD-0088,2024-02-25,Yoga Mat,Sports,9,29,0,261.0,108,153.0,Returning,South,Mobile App,Bank Transfer,Returned
ORD-0089,2024-10-21,Python Programming,Books,4,39,10,140.4,60,80.4,Returning,West,Mobile App,Credit Card,Completed
ORD-0090,2024-01-15,Resistance Bands,Sports,3,19,0,57.0,24,33.0,New,West,Online,Credit Card,Completed
ORD-0091,2024-10-25,Bluetooth Speaker,Electronics,8,79,0,632.0,320,312.0,Returning,East,In-Store,Bank Transfer,Completed
ORD-0092,2024-05-19,Cookbook Deluxe,Books,3,42,0,126.0,54,72.0,Returning,North,In-Store,Cash,Cancelled
ORD-0093,2025-05-16,Water Bottle 1L,Sports,1,15,15,12.75,5,7.75,VIP,South,In-Store,Bank Transfer,Completed
ORD-0094,2024-11-25,LED Desk Lamp,Home & Kitchen,9,45,0,405.0,162,243.0,New,South,Mobile App,Bank Transfer,Completed
ORD-0095,2025-01-25,Python Programming,Books,6,39,0,234.0,90,144.0,VIP,West,Mobile App,PayPal,Completed
ORD-0096,2024-12-05,Bluetooth Speaker,Electronics,9,79,0,711.0,360,351.0,New,North,In-Store,Bank Transfer,Completed
ORD-0097,2024-12-12,Wool Scarf,Clothing,3,29,15,73.95,36,37.95,New,West,Mobile App,Cash,Cancelled
ORD-0098,2025-05-14,Jump Rope,Sports,6,12,0,72.0,24,48.0,New,North,Mobile App,PayPal,Returned
ORD-0099,2024-04-10,Stainless Bottle,Home & Kitchen,2,28,0,56.0,20,36.0,New,North,In-Store,Cash,Completed
ORD-0100,2025-03-17,USB-C Hub,Electronics,1,59,15,50.15,30,20.15,VIP,South,Online,Bank Transfer,Completed
ORD-0101,2024-09-03,Denim Jacket,Clothing,3,80,20,192.0,105,87.0,New,West,Mobile App,PayPal,Completed
ORD-0102,2025-04-21,Bamboo Cutting Board,Home & Kitchen,5,22,0,110.0,40,70.0,VIP,East,Mobile App,PayPal,Completed
ORD-0103,2024-09-13,Business Strategy,Books,10,35,20,280.0,120,160.0,New,West,In-Store,Bank Transfer,Cancelled
ORD-0104,2025-01-02,Python Programming,Books,4,39,0,156.0,60,96.0,Returning,East,Mobile App,Credit Card,Cancelled
ORD-0105,2024-02-20,Business Strategy,Books,1,35,0,35.0,12,23.0,New,West,In-Store,Cash,Completed
ORD-0106,2024-05-20,Slim Chinos,Clothing,5,55,0,275.0,100,175.0,VIP,North,Mobile App,Credit Card,Completed
ORD-0107,2024-05-14,Python Programming,Books,10,39,0,390.0,150,240.0,Returning,North,In-Store,Bank Transfer,Completed
ORD-0108,2025-01-09,Denim Jacket,Clothing,9,80,0,720.0,315,405.0,Returning,East,Online,Bank Transfer,Cancelled
ORD-0109,2024-03-18,Chef Knife Set,Home & Kitchen,2,75,0,150.0,60,90.0,VIP,South,Online,Bank Transfer,Cancelled
ORD-0110,2024-01-15,Water Bottle 1L,Sports,2,15,0,30.0,10,20.0,New,East,Mobile App,Bank Transfer,Completed
ORD-0111,2025-01-15,LED Desk Lamp,Home & Kitchen,7,45,0,315.0,126,189.0,New,North,Mobile App,Bank Transfer,Completed
ORD-0112,2024-08-14,Foam Roller,Sports,6,34,0,204.0,90,114.0,Returning,North,Mobile App,Cash,Returned
ORD-0113,2024-11-07,Python Programming,Books,3,39,5,111.15,45,66.15,New,West,Online,PayPal,Completed
ORD-0114,2025-03-05,Wool Scarf,Clothing,8,29,0,232.0,96,136.0,VIP,South,In-Store,Credit Card,Cancelled
ORD-0115,2024-10-13,Cookbook Deluxe,Books,7,42,0,294.0,126,168.0,Returning,North,Mobile App,PayPal,Completed
ORD-0116,2025-01-02,Data Science 101,Books,6,49,15,249.9,120,129.9,Returning,North,In-Store,PayPal,Completed
ORD-0117,2024-01-22,Python Programming,Books,4,39,0,156.0,60,96.0,New,North,In-Store,PayPal,Cancelled
ORD-0118,2024-07-31,Resistance Bands,Sports,2,19,0,38.0,16,22.0,Returning,South,Online,PayPal,Cancelled
ORD-0119,2024-05-28,Yoga Mat,Sports,5,29,0,145.0,60,85.0,Returning,South,Mobile App,PayPal,Completed
ORD-0120,2024-08-31,Bluetooth Speaker,Electronics,1,79,0,79.0,40,39.0,New,East,Online,Cash,Completed
ORD-0121,2025-05-02,Wool Scarf,Clothing,9,29,5,247.95,108,139.95,VIP,West,In-Store,Credit Card,Completed
ORD-0122,2024-11-04,Resistance Bands,Sports,10,19,25,142.5,80,62.5,New,West,Mobile App,Credit Card,Completed
ORD-0123,2025-03-30,Machine Learning,Books,2,59,0,118.0,50,68.0,Returning,North,Online,PayPal,Completed
ORD-0124,2024-11-28,Running Shoes,Clothing,10,95,0,950.0,300,650.0,VIP,West,Mobile App,Cash,Completed
ORD-0125,2024-08-08,Foam Roller,Sports,7,34,5,226.1,105,121.1,New,West,In-Store,Bank Transfer,Completed
ORD-0126,2024-11-16,Machine Learning,Books,7,59,0,413.0,175,238.0,VIP,West,In-Store,Cash,Completed
ORD-0127,2024-04-05,Wool Scarf,Clothing,2,29,5,55.1,24,31.1,VIP,West,Online,Cash,Cancelled
ORD-0128,2024-12-03,Slim Chinos,Clothing,1,55,0,55.0,20,35.0,Returning,North,In-Store,Bank Transfer,Cancelled
ORD-0129,2024-04-16,USB-C Hub,Electronics,10,59,0,590.0,300,290.0,VIP,South,Online,Bank Transfer,Completed
ORD-0130,2024-10-12,USB-C Hub,Electronics,9,59,0,531.0,270,261.0,VIP,South,In-Store,Credit Card,Completed
ORD-0131,2024-12-13,Coffee Maker,Home & Kitchen,3,89,15,226.95,135,91.95,New,East,Online,PayPal,Completed
ORD-0132,2024-02-01,Python Programming,Books,3,39,0,117.0,45,72.0,VIP,North,Mobile App,PayPal,Completed
ORD-0133,2024-11-28,Machine Learning,Books,6,59,15,300.9,150,150.9,New,North,Online,PayPal,Cancelled
ORD-0134,2025-05-12,Yoga Mat,Sports,2,29,20,46.4,24,22.4,Returning,West,In-Store,PayPal,Cancelled
ORD-0135,2024-10-17,Yoga Mat,Sports,6,29,0,174.0,72,102.0,VIP,West,Mobile App,Cash,Completed
ORD-0136,2024-11-04,Wool Scarf,Clothing,10,29,10,261.0,120,141.0,Returning,South,Online,Cash,Completed
ORD-0137,2024-06-28,Wireless Mouse,Electronics,8,49,0,392.0,200,192.0,VIP,South,In-Store,PayPal,Completed
ORD-0138,2024-02-13,Water Bottle 1L,Sports,2,15,0,30.0,10,20.0,Returning,West,Online,Credit Card,Cancelled
ORD-0139,2025-03-03,LED Desk Lamp,Home & Kitchen,7,45,0,315.0,126,189.0,Returning,East,Online,Credit Card,Completed
ORD-0140,2025-01-05,Slim Chinos,Clothing,8,55,0,440.0,160,280.0,New,North,In-Store,PayPal,Completed
ORD-0141,2024-12-13,Jump Rope,Sports,9,12,15,91.8,36,55.8,New,South,In-Store,Credit Card,Completed
ORD-0142,2024-12-25,Laptop Stand,Electronics,9,69,15,527.85,315,212.85,New,South,Online,PayPal,Completed
ORD-0143,2024-06-30,Denim Jacket,Clothing,10,80,5,760.0,350,410.0,VIP,West,In-Store,Bank Transfer,Returned
ORD-0144,2024-11-19,Foam Roller,Sports,6,34,0,204.0,90,114.0,New,South,In-Store,Bank Transfer,Completed
ORD-0145,2024-03-16,Chef Knife Set,Home & Kitchen,10,75,25,562.5,300,262.5,Returning,East,In-Store,Credit Card,Completed
ORD-0146,2024-04-02,Chef Knife Set,Home & Kitchen,2,75,0,150.0,60,90.0,VIP,West,In-Store,Credit Card,Completed
ORD-0147,2025-05-28,Resistance Bands,Sports,6,19,0,114.0,48,66.0,Returning,South,Online,Credit Card,Cancelled
ORD-0148,2024-02-10,Coffee Maker,Home & Kitchen,9,89,0,801.0,405,396.0,Returning,South,Mobile App,Bank Transfer,Completed
ORD-0149,2024-10-16,Foam Roller,Sports,3,34,0,102.0,45,57.0,Returning,West,In-Store,Credit Card,Cancelled
ORD-0150,2024-10-17,Coffee Maker,Home & Kitchen,6,89,20,427.2,270,157.2,VIP,East,Mobile App,PayPal,Completed
ORD-0151,2024-11-13,Laptop Stand,Electronics,3,69,0,207.0,105,102.0,VIP,West,Online,Credit Card,Completed
ORD-0152,2024-04-05,Jump Rope,Sports,6,12,0,72.0,24,48.0,Returning,West,Mobile App,Credit Card,Completed
ORD-0153,2025-05-12,Stainless Bottle,Home & Kitchen,4,28,0,112.0,40,72.0,New,South,Online,PayPal,Completed
ORD-0154,2024-02-08,Coffee Maker,Home & Kitchen,9,89,0,801.0,405,396.0,New,East,Mobile App,Bank Transfer,Completed
ORD-0155,2024-06-18,Denim Jacket,Clothing,10,80,0,800.0,350,450.0,Returning,West,Online,Cash,Returned
ORD-0156,2024-08-27,Wool Scarf,Clothing,10,29,20,232.0,120,112.0,Returning,South,In-Store,PayPal,Completed
ORD-0157,2025-01-26,Jump Rope,Sports,8,12,0,96.0,32,64.0,New,West,Online,PayPal,Cancelled
ORD-0158,2024-04-15,Coffee Maker,Home & Kitchen,8,89,0,712.0,360,352.0,New,North,In-Store,PayPal,Completed
ORD-0159,2024-04-03,Cookbook Deluxe,Books,3,42,0,126.0,54,72.0,Returning,South,In-Store,Credit Card,Completed
ORD-0160,2025-01-30,HDMI Cable 6ft,Electronics,9,18,0,162.0,72,90.0,New,North,In-Store,Credit Card,Completed
ORD-0161,2025-04-28,USB-C Hub,Electronics,3,59,15,150.45,90,60.45,Returning,South,Mobile App,Bank Transfer,Completed
ORD-0162,2025-03-09,Wireless Mouse,Electronics,1,49,10,44.1,25,19.1,New,North,In-Store,Cash,Completed
ORD-0163,2025-04-13,Bluetooth Speaker,Electronics,7,79,0,553.0,280,273.0,Returning,North,Online,Credit Card,Returned
ORD-0164,2024-10-25,Foam Roller,Sports,4,34,0,136.0,60,76.0,VIP,West,Online,Cash,Completed
ORD-0165,2024-03-28,Jump Rope,Sports,3,12,0,36.0,12,24.0,VIP,East,Online,Credit Card,Completed
ORD-0166,2024-09-16,Python Programming,Books,7,39,0,273.0,105,168.0,New,North,In-Store,Cash,Completed
